flow	speed
727.266048	62.9
284.0883	62.9
340.90596	59.9
340.90596	60.6
511.35894	70.1
340.90596	62.9
511.35894	55.8
624.99426	56.4
1193.170861	60.9
681.81192	58.4
624.99426	58.4
568.1766	49.1
568.1766	68.2
795.44724	55.8
568.1766	59.5
511.35894	57.1
1022.717881	63.8
511.35894	59.5
624.99426	56.4
681.81192	60.6
624.99426	57.6
170.45298	62.9
681.81192	58.4
624.99426	57.6
909.082561	63.8
1079.535541	60.9
284.0883	56.4
909.082561	59
454.54128	55.8
454.54128	59.9
624.99426	58.4
681.81192	59.3
681.81192	60.2
852.264901	62.1
1079.535541	59.9
1249.988521	54.5
965.900221	63.8
681.81192	62
511.35894	59.5
1079.535541	58.9
568.1766	58.4
624.99426	59.3
852.264901	62.9
624.99426	57.6
852.264901	59.3
852.264901	62
568.1766	55.5
738.62958	58.4
738.62958	57.4
1249.988521	58.4
795.44724	56.7
624.99426	59.5
795.44724	59.9
681.81192	51.1
909.082561	59
795.44724	61.4
965.900221	61.6
909.082561	61.6
965.900221	64.4
965.900221	58.4
1079.535541	49.6
965.900221	54
284.0883	54.5
1193.170861	59.3
1420.441501	62.4
909.082561	65.1
1022.717881	64.8
1079.535541	59.4
1306.806181	60
909.082561	61.6
965.900221	61.6
1249.988521	61.9
738.62958	57.8
568.1766	61.4
681.81192	60.2
1022.717881	60.1
1363.623841	60.8
1079.535541	64
1306.806181	61.2
1193.170861	57.6
965.900221	60.1
1249.988521	57.6
1022.717881	60.3
738.62958	62.9
1534.076821	61.5
738.62958	67.2
965.900221	62.3
1363.623841	49.5
1306.806181	59.6
738.62958	62.9
1193.170861	62
1022.717881	60.9
1136.353201	57.6
1249.988521	60.6
965.900221	59.7
852.264901	56.8
1022.717881	56.6
852.264901	60.9
1420.441501	55.2
1477.259161	58.1
1534.076821	59.9
1079.535541	61.7
1534.076821	63.3
965.900221	62.9
1193.170861	61.7
1136.353201	60.9
852.264901	60.6
1136.353201	59.4
1534.076821	60.1
965.900221	62.3
1704.529801	62.9
1306.806181	59.4
909.082561	59.7
1306.806181	55.7
681.81192	64.2
1193.170861	59.3
1022.717881	64.2
1193.170861	59.7
1079.535541	55.6
1420.441501	40.7
1590.894481	60.2
624.99426	62
738.62958	60.6
1420.441501	56.1
909.082561	59.9
1704.529801	56.8
1193.170861	54.9
1193.170861	55
1136.353201	56.8
1477.259161	53.9
1761.347461	59.7
1590.894481	57.8
852.264901	59.7
1249.988521	59.5
1874.982781	49
965.900221	57.9
1534.076821	59.9
1420.441501	60.6
1136.353201	61.4
1818.165121	59.3
1022.717881	59
1136.353201	59
624.99426	58.4
1477.259161	58.4
1590.894481	56
1022.717881	66.1
1647.712141	58.1
1363.623841	60.8
1022.717881	54.5
795.44724	57.1
1420.441501	58.1
1590.894481	59.5
1136.353201	59.3
1306.806181	58.4
2159.071081	54.1
1306.806181	57
2102.253421	56.8
1534.076821	58.4
1363.623841	60.4
1022.717881	52.4
1022.717881	59
1306.806181	58
1306.806181	60.4
1590.894481	57.1
1534.076821	58.4
1420.441501	57.1
1477.259161	60.9
1988.618101	58.2
1818.165121	55.8
1647.712141	62.2
1193.170861	59.3
1193.170861	55
1590.894481	59.7
1420.441501	58.1
1874.982781	56.7
2215.888741	56.7
1704.529801	57.9
2045.435761	54.5
1363.623841	60.1
1931.800441	55.9
1590.894481	58.1
1420.441501	55.9
1704.529801	57.3
1193.170861	60.2
1818.165121	57.6
1647.712141	55.1
2102.253421	57.5
1249.988521	56
1704.529801	56
1761.347461	59.8
1931.800441	61.4
1363.623841	57.4
1306.806181	58.9
1818.165121	60.5
1590.894481	59.9
2102.253421	55.2
1079.535541	60.4
1534.076821	56.3
1818.165121	57.9
1590.894481	51.9
1988.618101	57.2
1704.529801	55.5
1761.347461	57.9
1761.347461	53.4
1647.712141	53.8
1761.347461	53.8
2102.253421	56.4
2045.435761	53.1
1420.441501	58.9
1818.165121	51.7
1647.712141	56.7
1761.347461	55
1761.347461	60.2
1874.982781	57.4
2272.706401	57.5
1647.712141	51.9
1704.529801	59.3
1647.712141	58.1
1647.712141	58.1
1704.529801	51.8
2159.071081	56
1931.800441	51.1
1761.347461	57.9
1931.800441	53.7
1874.982781	56.7
1988.618101	54.3
1079.535541	57.1
1477.259161	49.7
1761.347461	59.8
1420.441501	57.7
1931.800441	60.2
1818.165121	59.8
1590.894481	59.3
1931.800441	57.6
1534.076821	57.7
1590.894481	57.8
2159.071081	54.3
2556.794702	53.6
1022.717881	57.3
2215.888741	54.1
1534.076821	58.4
1874.982781	55.9
1874.982781	57.6
1590.894481	58.8
1988.618101	54.3
2045.435761	59.6
1818.165121	60.2
2102.253421	52.2
1306.806181	57.1
2386.341721	59.9
2443.159381	54.9
1249.988521	56.2
2045.435761	53.3
1590.894481	55.7
2443.159381	57.8
965.900221	59
1988.618101	56.7
1193.170861	39.5
1534.076821	59.4
1704.529801	54.3
2613.612362	49
1363.623841	51.4
1818.165121	54.3
2329.524061	48.1
2386.341721	48.3
1420.441501	52.2
2215.888741	52.9
2215.888741	54.3
2215.888741	52.4
1931.800441	49
2329.524061	49.3
1647.712141	52.2
2045.435761	54.1
1931.800441	52.7
1988.618101	55.7
1477.259161	55.2
1704.529801	52.7
1704.529801	55.9
1363.623841	57
2102.253421	53
1818.165121	55.3
2159.071081	54.1
2215.888741	53.6
1818.165121	55.7
1704.529801	55.5
2045.435761	56
1022.717881	56.7
1988.618101	56.5
1136.353201	61.2
1363.623841	57
1931.800441	56.7
1534.076821	56.4
1022.717881	57.9
1988.618101	56.8
1363.623841	58.1
1818.165121	57.6
1647.712141	60.6
1647.712141	50.9
1874.982781	47.6
1874.982781	57.3
2215.888741	53.6
2215.888741	50.5
2102.253421	53.7
1647.712141	56.3
1988.618101	53.1
1306.806181	61.5
2045.435761	57.8
2159.071081	51.8
1761.347461	56.7
1363.623841	56.6
2102.253421	56.1
2045.435761	53.4
2499.977041	53.5
1647.712141	50.2
1534.076821	50.9
2045.435761	53.4
2215.888741	56
1874.982781	55.9
2102.253421	53.4
1988.618101	47.4
1704.529801	41.8
1874.982781	40.9
2329.524061	46.5
1874.982781	33.4
1874.982781	33.1
1761.347461	37.6
1761.347461	46.9
2272.706401	46.8
1363.623841	50.6
2045.435761	43.8
1818.165121	43.1
1988.618101	38.5
1988.618101	40
2159.071081	40.3
1988.618101	45.2
1874.982781	50.3
1874.982781	51.5
1534.076821	53.7
2102.253421	49.9
1818.165121	49.5
2613.612362	42.3
2329.524061	39.7
1818.165121	47.2
2159.071081	39.4
1874.982781	40.5
2102.253421	44.3
1988.618101	46.8
1590.894481	45.5
2045.435761	41.4
1193.170861	49.3
2386.341721	48.8
1477.259161	47.1
2215.888741	51.9
1193.170861	56
1249.988521	59.4
2102.253421	52.9
1818.165121	56.8
1647.712141	52.1
1477.259161	47.4
1931.800441	49
1818.165121	55.3
2045.435761	54.5
2159.071081	55.5
1363.623841	62.1
1988.618101	58.7
1249.988521	54.5
1249.988521	54.9
1363.623841	57.3
2045.435761	53.9
2045.435761	58.4
1420.441501	58.1
1818.165121	55.8
1136.353201	54.5
2045.435761	58
2159.071081	51.5
1704.529801	57.8
1477.259161	45.2
1647.712141	55.1
2613.612362	52.4
1420.441501	56.6
2556.794702	56.1
1477.259161	56.1
1704.529801	55.3
1477.259161	54.3
1761.347461	55.5
1874.982781	51.7
1306.806181	57.3
1136.353201	57.1
1249.988521	58.4
2386.341721	51.1
1420.441501	52.3
1704.529801	52.4
1818.165121	55.5
1136.353201	56.4
1761.347461	55.6
1818.165121	55.8
1931.800441	57.7
1249.988521	50.3
1874.982781	53.1
1647.712141	55.4
1647.712141	55.3
1818.165121	56.1
1704.529801	55.5
1534.076821	61.8
2272.706401	52.9
2159.071081	52
1988.618101	58
1477.259161	58.8
1590.894481	54.9
2045.435761	51.9
1647.712141	61.1
2045.435761	53.1
1590.894481	57.9
2272.706401	55.7
1477.259161	52
2102.253421	60
1704.529801	60.9
1079.535541	57.2
1590.894481	56
1590.894481	55.5
1420.441501	55.8
1874.982781	53.9
2045.435761	54.1
1420.441501	54.5
1590.894481	54.5
1534.076821	58.4
1647.712141	55.7
1647.712141	53.2
1647.712141	53
2329.524061	52.8
2215.888741	34.1
1704.529801	42.2
795.44724	39.9
1306.806181	26.9
1988.618101	22.2
1249.988521	20
1249.988521	26.8
1420.441501	26.8
1647.712141	30.8
1363.623841	33.8
1988.618101	39.1
1818.165121	30.6
965.900221	12.9
1420.441501	14.6
1079.535541	15.5
1079.535541	7.8
624.99426	3.8
795.44724	5.3
909.082561	21.4
1761.347461	23.6
1874.982781	26.5
1590.894481	25
1136.353201	30.4
1249.988521	10.2
1022.717881	14.9
1249.988521	21.8
1306.806181	30.4
1477.259161	35.8
1477.259161	33.3
1534.076821	20.9
1420.441501	28.8
1363.623841	22.2
1022.717881	8.7
681.81192	3.5
965.900221	15.1
1079.535541	13.5
738.62958	4.5
1249.988521	11.9
1079.535541	20.8
1249.988521	14.8
1079.535541	21.8
1193.170861	29.1
1363.623841	31.4
909.082561	33.6
1306.806181	25.4
1590.894481	28
1761.347461	30.2
1420.441501	28.1
1590.894481	30.4
1477.259161	31.5
1477.259161	39.4
1136.353201	35.7
1306.806181	36.7
1193.170861	34.9
1704.529801	36
1477.259161	35.1
1874.982781	35.3
1590.894481	36.9
1647.712141	40.9
1477.259161	41.5
965.900221	44.2
1420.441501	51.4
1874.982781	53.9
1534.076821	52.4
1079.535541	54.5
1193.170861	49
1420.441501	50.6
1704.529801	50.9
1193.170861	54.1
1477.259161	51.8
1988.618101	51.5
1931.800441	46.3
2045.435761	48
1249.988521	51.8
2159.071081	47.7
1420.441501	51.1
2045.435761	49.3
1306.806181	29.5
1818.165121	52.7
1590.894481	57.5
1193.170861	64.8
1704.529801	54.1
1704.529801	45.6
965.900221	55
1193.170861	55.8
1818.165121	36.2
1818.165121	50.5
1136.353201	61.9
1590.894481	56.1
1477.259161	53.7
1761.347461	52.4
1590.894481	57.3
1704.529801	56.1
2045.435761	56.6
1306.806181	57.7
1590.894481	53.4
1420.441501	60.4
1647.712141	56.6
1249.988521	57.6
1363.623841	60.4
1534.076821	55.2
852.264901	61.6
1477.259161	58.1
1249.988521	60.2
1193.170861	56.2
1761.347461	55.9
1931.800441	58.9
1818.165121	51.6
1420.441501	53.7
2102.253421	57.5
1647.712141	58.4
1647.712141	51.7
1420.441501	53.6
1704.529801	59.7
1534.076821	51.4
852.264901	57.8
1647.712141	56.9
1363.623841	52.3
1874.982781	47.5
1477.259161	61
1647.712141	62.6
1306.806181	62.9
1590.894481	57.8
2045.435761	63.3
1590.894481	58.4
1874.982781	58.4
1647.712141	59
1477.259161	62.5
1931.800441	56.7
1761.347461	57.2
1534.076821	57.8
1136.353201	60.6
2102.253421	55
1931.800441	54.1
1534.076821	57.1
909.082561	61.4
2045.435761	52.7
1818.165121	60.6
1079.535541	58.4
1704.529801	59.4
1704.529801	57.6
1306.806181	62
1477.259161	62.5
909.082561	60.6
738.62958	58.4
1022.717881	56.9
1363.623841	57.8
1079.535541	59
1363.623841	60.2
1249.988521	56.4
852.264901	56.7
1590.894481	58.4
1761.347461	60.3
1363.623841	49.6
1136.353201	56.4
1477.259161	57.5
1249.988521	56.2
1249.988521	55.6
1761.347461	59.8
1363.623841	57.4
1363.623841	55.5
1477.259161	57.2
1249.988521	58.4
1590.894481	56.7
738.62958	65.5
1136.353201	56.4
1704.529801	59.8
2045.435761	55.4
1249.988521	61.1
1112.849759	47.4
1229.991839	58.4
1698.560159	58.1
1698.560159	56.4
1288.562879	60.6
1522.847039	60.1
1932.844319	53
1522.847039	59.2
1054.278719	62.9
1991.415359	53.4
2049.986399	56.6
1815.702239	62.3
1639.989119	60
1639.989119	58.4
1112.849759	60.6
1171.420799	49.4
1815.702239	57.6
1347.133919	57.7
2049.986399	55.3
1698.560159	60.3
995.707679	58.4
2108.557439	56.4
1991.415359	57.4
1991.415359	53.9
1171.420799	58
995.707679	58.4
1522.847039	54.5
1405.704959	56.6
995.707679	60.6
1171.420799	60.1
1464.275999	57
1698.560159	58.8
1522.847039	59.2
1698.560159	56.1
1581.418079	54
1288.562879	54.5
1757.131199	56.6
1054.278719	57.4
1405.704959	57
1112.849759	60.6
2049.986399	56.6
1229.991839	56
1932.844319	52.5
1757.131199	58.1
1112.849759	58.4
1874.273279	55
1405.704959	56.6
1464.275999	58.8
1347.133919	59.7
1405.704959	56.2
1347.133919	54.2
1347.133919	61.2
1757.131199	54.5
1288.562879	52.3
1757.131199	55.1
1581.418079	58.1
2049.986399	56.5
1054.278719	56.2
2342.841598	55.4
1757.131199	58.2
1757.131199	60.8
1229.991839	58
1639.989119	57.1
1639.989119	50.4
1698.560159	58.7
1698.560159	55.4
1054.278719	57.4
1815.702239	59.8
2284.270558	55.8
1522.847039	62
2284.270558	58.2
1698.560159	59.7
1288.562879	58
1522.847039	59.6
1405.704959	58.8
1874.273279	59
1522.847039	59.9
1229.991839	57.2
2459.983678	57.2
1522.847039	57.8
1464.275999	58
1229.991839	59.3
1757.131199	56.7
1171.420799	58.4
1874.273279	55.7
1112.849759	53.7
1639.989119	60.3
1347.133919	61.1
1698.560159	58.1
1698.560159	60.1
1698.560159	56.1
1405.704959	58.9
1815.702239	57.5
1112.849759	58.4
1639.989119	58.9
1347.133919	58.8
2049.986399	55.9
1405.704959	55.2
1874.273279	52.1
1639.989119	55.3
1054.278719	62.9
1522.847039	56.4
1171.420799	60.2
1581.418079	58.1
1991.415359	61
1112.849759	48.8
1815.702239	45.1
2167.128479	54.5
1464.275999	58.9
1405.704959	55.2
1639.989119	60.6
1288.562879	60.2
2284.270558	51.1
1932.844319	58.2
2167.128479	58.7
1581.418079	56.1
1522.847039	58.1
1932.844319	55.3
1522.847039	57.5
2108.557439	56.4
1229.991839	58.9
2167.128479	56
1639.989119	56
2049.986399	60.6
1112.849759	60.6
1347.133919	52.9
1991.415359	54.3
1054.278719	56.4
1522.847039	59.8
937.136639	60.9
1698.560159	52.4
1522.847039	58.8
1581.418079	54.3
2284.270558	55.5
1874.273279	53.8
1932.844319	59.5
1757.131199	57
1171.420799	58
1815.702239	58.1
2049.986399	50.5
2225.699518	53.7
1581.418079	55.1
1757.131199	53.4
1757.131199	56.1
2049.986399	53
1522.847039	53.8
2811.409918	55.6
2167.128479	54.5
1815.702239	58.1
1522.847039	58.4
1229.991839	54.9
1171.420799	54.2
1464.275999	55.5
1405.704959	60.4
1991.415359	55.5
2049.986399	39.9
1698.560159	59.4
2225.699518	56.3
2225.699518	53.6
2284.270558	54.7
1464.275999	55.3
2577.125758	53.5
1757.131199	54
1757.131199	58.1
2108.557439	52.7
1112.849759	60.6
1815.702239	61.9
2225.699518	56.3
1698.560159	57.5
2401.412638	53
1288.562879	59.5
1405.704959	58.4
1229.991839	59.3
2577.125758	55.5
1991.415359	58.7
1932.844319	58.2
1874.273279	58.1
1229.991839	55.8
1698.560159	56
1581.418079	54.9
2401.412638	51.3
1991.415359	48.8
2108.557439	54.3
1581.418079	61.2
2049.986399	57
1522.847039	55.3
2049.986399	50.5
2284.270558	57.3
1698.560159	58.7
2049.986399	55.3
1874.273279	46.9
1757.131199	55.3
2108.557439	53.2
1698.560159	58.7
1581.418079	52.6
1698.560159	55.6
1991.415359	54.5
2284.270558	54.5
1288.562879	60.2
2342.841598	58.9
1757.131199	52.8
1698.560159	54.9
2167.128479	56
1932.844319	56.7
1405.704959	58.4
2167.128479	51.1
1639.989119	54.8
2049.986399	53.1
2108.557439	52.4
1698.560159	54.3
1932.844319	51.1
1581.418079	53.9
1171.420799	57.1
1932.844319	59.5
1581.418079	59.1
1757.131199	58.1
1405.704959	58.8
1932.844319	57.2
1932.844319	54.5
1464.275999	58
1112.849759	59.7
1171.420799	57.6
1288.562879	52.3
1991.415359	54.1
2167.128479	56.2
1581.418079	57.8
1757.131199	60.9
1932.844319	56.7
1522.847039	53.4
1874.273279	55.3
1639.989119	56.4
1757.131199	54.3
1991.415359	55.9
1932.844319	58.4
1991.415359	56.6
1347.133919	58.4
1581.418079	56.3
1405.704959	54.9
2049.986399	58.2
1639.989119	56.1
2225.699518	57.4
1522.847039	57.7
1464.275999	58.1
1932.844319	55.9
1639.989119	59.8
1522.847039	57.8
1757.131199	51.4
1698.560159	57.4
2167.128479	51.7
1464.275999	57.3
1112.849759	59.4
1639.989119	63.7
1464.275999	54.2
2342.841598	53
1698.560159	61.1
1874.273279	57.4
1171.420799	59.9
2225.699518	49
1757.131199	59.3
1991.415359	54.1
1639.989119	58.4
1874.273279	59.4
1522.847039	57.5
1991.415359	55
2284.270558	51.9
1815.702239	56.3
1757.131199	55.4
1347.133919	57.6
1757.131199	57.3
1347.133919	58
1522.847039	55.8
2225.699518	57.7
1581.418079	55.6
2108.557439	50.7
2342.841598	50.6
1581.418079	58.1
2167.128479	53.4
1639.989119	56.6
1815.702239	57.6
1874.273279	58.2
1581.418079	59.5
1639.989119	56
2108.557439	60
1464.275999	58.1
2167.128479	58.9
2518.554718	56.1
1464.275999	53.6
1639.989119	59.8
1464.275999	57.7
1464.275999	57.4
1932.844319	40.3
1581.418079	57.3
2459.983678	56.9
1405.704959	56.1
2108.557439	56.4
1698.560159	57.3
1229.991839	60.6
1054.278719	56.1
1464.275999	58.4
1757.131199	59.1
1581.418079	59.5
1639.989119	55.7
1932.844319	53.6
2049.986399	54.1
1464.275999	57.7
2225.699518	54.1
2284.270558	54.5
1639.989119	57.8
1581.418079	59.5
1581.418079	58.4
1229.991839	58.4
1581.418079	57.5
1522.847039	54.9
2049.986399	53.7
1932.844319	58.7
2459.983678	58.4
1288.562879	60.2
1522.847039	60.8
1932.844319	58.2
2108.557439	60.1
1874.273279	57.3
1581.418079	56.6
1874.273279	55.3
1464.275999	60.6
1229.991839	59.4
1405.704959	53.9
1932.844319	58.2
1991.415359	52.6
1698.560159	57.3
2401.412638	51.5
1639.989119	57.2
1698.560159	54.3
1112.849759	48.8
1991.415359	54.5
2225.699518	54.3
2518.554718	57.2
1932.844319	56.4
2108.557439	58.4
1991.415359	60.3
1874.273279	58.7
2108.557439	55.6
2108.557439	56.5
1639.989119	57.9
1991.415359	59
2167.128479	54.1
2108.557439	57.2
1347.133919	53.6
1229.991839	61.1
1639.989119	55.6
2518.554718	58
1464.275999	58.4
1405.704959	56.8
1347.133919	60.4
1405.704959	58.8
2049.986399	57.5
1405.704959	58.4
1522.847039	58.1
1639.989119	61.9
1464.275999	58.4
1522.847039	51.4
1991.415359	50
1815.702239	53.7
1581.418079	59.5
1698.560159	57.3
2049.986399	58.4
644.28144	59.3
1581.418079	58.4
1757.131199	58.4
1405.704959	60.2
1405.704959	66.2
1757.131199	59.3
2049.986399	53.9
1932.844319	51.6
1815.702239	52.8
1698.560159	59.4
1757.131199	57.6
1171.420799	58
1639.989119	58.4
1991.415359	55
1874.273279	53.2
1054.278719	60.6
1639.989119	57.9
1112.849759	57.1
1932.844319	55.5
2225.699518	56.2
1991.415359	58.4
1815.702239	55.8
1874.273279	60.1
1815.702239	56.8
1757.131199	58.7
1054.278719	58.9
878.565599	62.9
2167.128479	54.3
1991.415359	54.1
1522.847039	50.3
1698.560159	55.3
